BLK00,TAZ_2000,lat,lon
270030501071013,1,45.4143851000,-93.5064780000
270030501071012,1,45.4142409000,-93.4974770000
270030501071014,1,45.4108006000,-93.5053290000
270030501071010,1,45.4105023000,-93.4773160000
270030501071011,1,45.4129042000,-93.4996290000
270030501071009,1,45.4087505000,-93.4324080000
270030501071032,1,45.4092595000,-93.4146440000
270030501071001,1,45.4067059000,-93.4001160000
270030501092001,12,45.4120987000,-93.1679510000
270030501092000,12,45.4103370000,-93.1522180000
270030501071000,1,45.4099153000,-93.3765720000
270030501092002,12,45.3970441000,-93.1648890000
270030501092013,12,45.4094050000,-93.1973890000
270030501081006,1,45.4038408000,-93.3607770000
270030501081000,2,45.4031369000,-93.3496400000
270030501082002,2,45.4118189000,-93.3320860000
270030501082001,2,45.4071143000,-93.2978890000
270030501081007,1,45.4132668000,-93.3557880000
270030501081008,1,45.4131960000,-93.3541160000
270030501081009,1,45.4131223000,-93.3527390000
270030501081999,2,45.4021948000,-93.3572270000
270030501091000,11,45.4064689000,-93.2486790000
270030501092016,12,45.4068611000,-93.2223250000
270030501091011,11,45.4113182000,-93.2646930000
270030501082000,2,45.4108621000,-93.2679240000
270030501091999,11,45.4129621000,-93.2412280000
270030501121031,15,45.4111166000,-93.0966750000
270030501121032,15,45.4100251000,-93.1213210000
270030501121998,15,45.4099125000,-93.0903000000
270030501071031,1,45.4118166000,-93.4975560000
270030501071030,1,45.4118990000,-93.4989520000
270030501121030,15,45.4083512000,-93.0828440000
270030501071029,1,45.4113249000,-93.4989790000
270030501121002,15,45.4075728000,-93.0635850000
270030501121003,15,45.4115801000,-93.0689010000
270030501091001,11,45.4116205000,-93.2383670000
270030501121029,15,45.4098555000,-93.0783410000
270030501121001,15,45.4070746000,-93.0396080000
270030501121000,15,45.4040849000,-93.0266040000
270030501071021,1,45.4086483000,-93.4670070000
270030501091002,11,45.4100201000,-93.2374530000
270030501091003,11,45.4101082000,-93.2374500000
270030501082003,2,45.3968077000,-93.3309540000
270030501121035,15,45.4096430000,-93.0987390000
270030501091004,11,45.4089273000,-93.2374160000
270030501121999,15,45.4074803000,-93.0529950000
270030501121034,15,45.4077791000,-93.0975650000
270030501121033,15,45.4076863000,-93.0995720000
270030501071015,1,45.4061238000,-93.4999150000
270030501071020,1,45.4070771000,-93.4759360000
270030501071016,1,45.4057791000,-93.5062910000
