stopID,lineno
10997,805
10997,850
10998,805
10998,850
46659,261
10999,850
10990,850
10991,850
46654,261
10992,850
46653,261
10993,850
10994,850
46655,261
10995,805
10995,850
46658,261
46657,261
46661,225
46674,223
46670,223
46671,223
46672,223
46689,62
46688,62
46687,62
45208,261
45208,225
45207,227
45207,261
45207,225
46610,788
46611,788
46612,788
46613,788
46614,788
46615,788
46616,788
46617,788
45201,261
46618,788
46619,788
10957,852
10957,850
45206,261
45206,225
45205,261
45205,225
46620,788
46621,788
10963,852
10963,850
46624,788
10962,852
10962,850
46625,788
10961,852
10961,850
46622,788
10960,852
10960,850
46623,788
10967,852
10967,850
10966,852
10966,850
46626,788
46627,788
10969,852
10969,850
10968,852
10968,850
10971,852
10971,850
10973,852
10973,850
45229,776
46630,667
46630,671
10970,852
10970,850
46631,667
46631,671
10979,850
45228,776
10976,850
10975,850
10978,850
10977,850
10985,850
10984,850
10983,850
10982,850
10980,850
45238,225
45237,742
45236,742
10989,850
45235,742
10988,850
45234,742
10987,850
45233,742
10986,850
45232,742
46609,788
46608,788
46605,788
46604,788
46607,788
46606,788
46601,788
46600,788
46603,788
46602,788
45130,436
45132,436
45131,436
45137,489
45137,445
45139,489
45139,436
45139,445
45134,489
45134,446
45135,446
45121,740
45120,740
10909,852
10908,852
10907,852
10906,852
45128,67
45128,75
45126,741
45127,67
45127,75
10911,852
45124,741
45122,741
10910,852
45123,741
45150,436
45152,436
45154,227
45153,436
45156,227
10940,852
10941,852
10929,852
10928,852
45142,260
45142,227
45142,223
45141,771
45141,740
45147,489
45147,446
10931,852
45144,489
45144,445
10932,852
45145,489
45145,445
10938,852
10930,852
45173,227
45173,261
45173,225
45174,227
45174,225
45175,261
45175,225
45176,261
45176,225
46582,788
46581,788
46584,788
46583,788
46580,788
46589,788
46585,788
46586,788
46587,788
46588,788
46573,788
46572,788
46571,788
46570,788
46578,788
46579,788
46576,788
46577,788
46574,788
46575,788
45191,261
45191,62
45193,261
45193,62
45195,261
45196,261
45197,261
45190,62
45199,261
10901,829
10900,829
10903,829
10903,831
10902,829
10904,829
10904,831
45183,261
45180,261
45186,261
46591,788
46590,788
46595,788
46594,788
46593,788
46592,788
46598,788
46596,788
46597,788
45189,261
45189,62
10894,829
46799,17
10895,829
10896,829
10897,829
10890,829
10891,829
10892,829
10893,829
46796,3
46796,62
46796,67
46796,262
10898,829
10899,829
46793,62
10870,829
10871,829
10872,829
10873,829
10874,829
46779,850
10875,829
10877,829
10878,829
10881,829
46786,62
10882,829
10880,829
10885,829
10886,829
10883,829
10884,829
10889,829
10887,829
10888,829
46780,850
10859,829
45105,741
45104,741
45106,741
10855,829
45101,740
45101,741
10854,805
10854,854
45100,740
45100,741
45103,740
45103,741
10856,829
45102,740
45102,741
10850,805
10850,854
10853,805
10853,854
10852,805
10852,854
45109,740
45108,740
46751,261
46752,261
45118,740
45117,740
45116,740
10869,829
10868,829
45114,740
10867,829
45113,740
10866,829
45112,740
10865,829
45111,740
10864,829
10863,829
10862,829
10861,829
10860,829
45119,740
45110,740
10833,854
10832,854
10835,854
10834,854
10837,854
10836,854
10839,854
10838,854
46732,223
46733,223
10831,854
46734,223
46735,223
10829,854
10846,805
10846,854
46749,261
10845,805
10845,854
10844,805
10844,854
46747,261
10843,805
10843,854
46748,261
10849,805
10849,854
10848,805
10848,854
10847,805
10847,854
46745,261
46746,261
10840,854
11940,94
11940,71
11940,262
46713,62
46712,62
46711,62
46710,62
46718,62
46716,62
46715,62
46721,62
11951,14
11951,758
11950,14
11950,758
46723,62
46720,62
11957,14
11957,758
11956,14
11955,14
11955,758
11954,14
11954,758
11918,64
11918,53
11920,64
11921,64
11923,860
11923,64
11925,860
11925,64
11925,53
11927,63
11927,350
11927,70
11927,351
11927,353
11927,364
11927,361
11931,63
11931,350
11931,21
11931,70
11931,351
11931,53
11931,353
11931,364
11931,361
46700,62
46702,62
46702,262
46701,62
46701,262
46704,62
11934,63
11934,350
11934,65
11934,351
11934,860
11934,54
11934,353
11934,364
11934,74
11934,61
11934,417
11934,489
11934,484
11934,265
11934,21
11934,70
11934,64
11934,53
11934,275
11934,480
11934,294
11934,361
46705,62
11939,16
11939,50
11939,94
46708,62
11938,16
11938,50
11938,94
46707,68
46707,62
46707,262
11994,672
11994,756
11994,705
11994,675
11995,672
11995,756
11995,705
11995,675
11991,652
11991,672
11991,756
11991,705
11991,675
36,5
34,5
34,663
34,643
39,5
37,5
42,5
40,5
45099,740
45099,741
45098,740
45097,740
45096,740
45095,740
45094,740
45093,740
45092,740
45090,740
45089,740
45086,740
45085,740
45088,740
45087,740
45082,741
45081,741
45084,740
45083,740
45080,741
11910,16
11910,50
11910,94
79,111
79,5
78,111
78,5
11912,16
11912,50
11912,94
11912,75
77,111
77,5
11916,860
11916,64
11916,53
83,23
83,4
80,4
81,4
11909,16
11909,50
11909,94
87,4
84,23
84,4
85,4
67,111
67,133
67,5
66,111
66,133
66,5
69,111
69,133
69,5
68,111
68,133
68,5
11903,68
11903,71
11904,68
11904,71
70,111
70,133
70,5
71,111
71,133
71,5
72,111
72,133
72,5
73,111
73,5
74,111
74,14
74,5
75,111
75,5
76,111
76,5
59,133
59,5
58,133
58,5
57,5
56,5
55,5
64,133
64,5
65,133
65,5
62,133
62,5
63,133
63,5
60,133
60,5
61,133
61,5
51,5
52,5
53,5
54,5
50,5
10819,854
10818,854
45031,771
45030,771
45033,771
45032,771
10820,854
10821,854
45034,771
10822,854
45035,771
10823,854
45036,771
10824,854
45037,771
10825,854
45038,771
45039,771
10828,854
45022,771
45021,771
45020,771
45025,771
10813,854
45026,771
45023,771
45024,771
10816,854
45029,771
10817,854
10814,854
45027,771
10815,854
45028,771
45011,771
45011,741
45010,771
45010,741
45016,771
45016,740
45017,771
45017,740
45018,771
45019,771
45012,771
45012,741
45013,771
45013,741
45014,771
45014,740
98,146
98,4
45000,776
97,146
97,4
96,146
