line1,stop1,line2,stop2
10,42381,10,42381
10,17162,10,17163
10,17141,10,17140
10,17138,10,14163
10,17163,11,49304
10,17991,11,17991
10,17997,11,17997
10,17995,11,17995
10,17994,11,17994
10,49303,11,49304
10,17164,11,49304
10,17996,11,17979
10,17995,11,17979
10,17995,11,17980
10,17993,11,17981
10,49303,11,49304
10,17979,11,17996
10,17979,11,17995
10,17980,11,17995
10,17980,11,17994
10,17981,11,17993
10,49303,11,49304
10,17165,11,17165
10,17165,11,49304
10,17162,11,49304
10,17979,11,17980
10,17980,11,17979
10,17980,11,17980
10,17981,11,17981
10,49303,11,49304
10,17998,12,17948
10,17997,12,17948
10,17994,12,17994
10,17998,12,17921
10,17997,12,17921
10,17995,12,17980
10,17980,12,17994
10,17981,12,17994
10,17976,12,17920
10,17978,12,17922
10,17980,12,17980
10,52320,12,17921
10,17995,133,19242
10,17979,133,19256
10,17979,133,19242
10,17995,134,17883
10,17979,134,17883
10,17980,134,17883
10,17979,135,19256
10,17979,135,19242
10,17980,135,19243
10,17981,135,19243
10,17994,14,17902
10,17996,14,17882
10,17995,14,17882
10,17980,14,17902
10,17979,14,17882
10,17980,14,17882
10,17995,144,17882
10,17979,144,17882
10,17993,146,19254
10,19268,146,40164
10,17994,146,19243
10,17979,146,19256
10,17981,146,19254
10,17979,146,19242
10,17980,146,19243
10,17981,146,19243
10,17995,156,50558
10,17979,156,19256
10,19264,156,19264
10,17978,156,50558
10,17979,156,50558
10,17998,16,17860
10,17997,16,17860
10,17995,16,17979
10,17997,16,49418
10,17994,16,17902
10,17978,16,17860
10,52320,16,17860
10,17978,16,49418
10,17979,16,17902
10,17980,16,17902
10,52320,16,49418
10,19268,17,19268
10,17997,17,17997
10,17995,17,17995
10,17994,17,17994
10,17996,17,17979
10,17995,17,17979
10,17995,17,17980
10,17993,17,17981
10,46801,17,14952
10,17227,17,40953
10,17979,17,17995
10,17980,17,17995
10,17980,17,17994
10,17981,17,17993
10,46801,17,46801
10,17979,17,17980
10,17980,17,17979
10,17980,17,17980
10,17981,17,17981
10,17991,18,17991
10,17997,18,17997
10,17995,18,17995
10,17994,18,17994
10,17996,18,17979
10,17995,18,17979
10,17995,18,17980
10,17993,18,17981
10,17979,18,17996
10,17979,18,17995
10,17980,18,17995
10,17980,18,17994
10,17981,18,17993
10,17979,18,17980
10,17980,18,17979
10,17980,18,17980
10,17981,18,17981
10,17994,19,17902
10,17993,19,17907
10,17979,19,17902
10,17980,19,17902
10,17981,19,17907
10,40953,2,41252
10,17227,2,41252
10,17994,22,17902
10,17993,22,17907
10,17979,22,17902
10,17980,22,17902
10,17981,22,17907
10,17992,24,49441
10,17993,24,17907
10,17982,24,49441
10,17981,24,17907
10,40953,25,14955
10,14952,25,14952
10,19268,25,19268
10,17995,25,17995
10,17994,25,17994
10,14952,25,12282
10,17995,25,17980
10,17993,25,17981
10,42381,25,42381
10,46801,25,14953
10,17227,25,14955
10,17980,25,17995
10,17980,25,17994
10,17981,25,17993
10,17980,25,17980
10,17981,25,17981
10,17980,250,19255
10,17983,250,19246
10,12282,260,14952
10,46801,260,14952
10,17983,260,19246
10,12282,261,14952
10,46801,261,14952
10,17983,261,19246
10,12282,270,14952
10,46801,270,14952
10,17983,270,19246
10,17998,3,17860
10,17997,3,17860
10,17997,3,49418
10,17978,3,17860
10,52320,3,17860
10,17978,3,49418
10,17980,3,17902
10,52320,3,49418
10,17194,32,12827
10,17194,32,12828
10,17195,32,12827
10,17195,32,12828
10,17995,353,17883
10,17979,353,17883
10,17980,353,17883
10,17995,355,17883
10,17979,355,17883
10,17980,355,17883
10,17995,365,17883
10,17979,365,17883
10,17995,375,17883
10,17979,375,17883
10,17980,375,17883
10,17993,39,17907
10,17981,39,17907
10,40953,4,14955
10,17998,4,17948
10,17997,4,17948
10,17998,4,17921
10,17997,4,17921
10,17227,4,14955
10,17980,4,48551
10,17980,4,48552
10,17976,4,17920
10,17978,4,17922
10,17980,4,48549
10,17980,4,48550
10,52320,4,17921
10,17995,452,17882
10,17979,452,17882
10,17979,460,19256
10,17979,460,19242
10,17980,460,19243
10,17981,460,19243
10,17979,464,19242
10,17981,464,19243
10,17979,465,19256
10,17979,465,19242
10,17980,465,19243
10,17981,465,19243
10,17993,470,19254
10,17981,470,19254
10,17979,490,19242
10,17981,490,19243
10,17995,5,47851
10,17995,5,47852
10,17994,5,47852
10,17994,5,47853
10,17993,5,47854
10,17979,5,47851
10,17979,5,47852
10,17980,5,47851
10,17980,5,47852
10,17981,5,47854
10,17998,50,17860
10,17997,50,17860
10,17978,50,17860
10,52320,50,17860
10,17978,50,49418
10,52320,50,49418
10,17995,535,50558
10,17979,535,19256
10,19263,535,19263
10,19264,535,19264
10,17978,535,50558
10,17979,535,50558
10,17996,55,51423
10,17996,55,51408
10,17978,55,51423
10,17978,55,51408
10,19268,552,40164
10,17995,552,50558
10,17979,552,19256
10,19263,552,19263
10,19264,552,19264
10,17978,552,50558
10,17979,552,50558
10,19268,553,40164
10,17995,553,50558
10,17979,553,19256
10,19263,553,19263
10,19264,553,19264
10,17978,553,50558
10,17979,553,50558
10,17995,554,50558
10,17979,554,19256
10,19263,554,19263
10,19264,554,19264
10,17978,554,50558
10,17979,554,50558
10,17995,557,50558
10,17979,557,19256
10,19263,557,19263
10,19264,557,19264
10,17978,557,50558
10,17979,557,50558
10,17995,568,17995
10,17995,568,17980
10,17993,568,17981
10,17978,568,17978
10,17980,568,17980
10,17981,568,17981
10,17993,576,19254
10,17995,576,50558
10,17981,576,19254
10,19263,576,19263
10,19264,576,19264
10,17978,576,50558
10,17979,576,50558
10,17979,578,19256
10,17979,578,19242
10,17980,578,19243
10,17981,578,19243
10,17979,587,19242
10,17983,587,19329
10,17992,589,17982
10,17976,589,17976
10,17976,589,17998
10,17980,589,17980
10,17993,597,19254
10,17995,597,50558
10,17981,597,19254
10,19263,597,19263
10,19263,597,19269
10,19264,597,19264
10,17978,597,50558
10,17979,597,50558
10,14952,6,12281
10,17997,6,17948
10,14953,6,16124
10,17998,6,17921
10,17997,6,17921
10,12282,6,12281
10,46801,6,12281
10,17980,6,48551
10,17980,6,48552
10,46801,6,16124
10,17976,6,17920
10,17978,6,17922
10,17980,6,48549
10,17980,6,48550
10,52320,6,17921
10,17997,61,17948
10,17227,61,14955
10,17976,61,17920
10,17992,643,49441
10,17981,643,49441
10,17983,643,49441
10,17982,643,49441
10,17992,649,49441
10,17981,649,49441
10,17983,649,49441
10,17982,649,49441
10,17992,663,49441
10,17981,663,49441
10,17983,663,49441
10,17982,663,49441
10,17976,664,17920
10,17978,664,17922
10,52320,664,17921
10,17995,665,17980
10,17993,665,17981
10,17980,665,17980
10,17981,665,17981
10,17983,665,19329
10,17995,667,17980
10,17978,667,17978
10,17980,667,17980
10,17981,667,17981
10,17983,667,19329
10,17995,668,17980
10,17978,668,17978
10,17980,668,17980
10,17981,668,17981
10,17983,668,19329
10,17995,670,17980
10,17993,670,17981
10,17980,670,17980
10,17981,670,17981
10,17983,670,19329
10,17980,671,17980
10,17983,671,19329
10,17980,672,17980
10,17983,672,19329
10,52104,673,19246
10,17979,673,19242
10,17980,674,17980
10,17983,674,19329
10,17980,675,17980
10,17983,675,19329
